epoch,train_loss,val_acc
1,4.5035,8.20
2,4.0156,13.49
3,3.6996,16.64
4,3.4307,20.64
5,3.2068,20.36
6,3.0128,24.71
7,2.8531,27.80
8,2.7112,33.78
9,2.5853,27.38
10,2.4634,31.78
11,2.3400,35.07
12,2.2418,36.22
13,2.1391,37.53
14,2.0365,34.42
15,1.9551,39.38
16,1.8606,42.51
17,1.7684,36.13
18,1.6940,41.16
19,1.6061,41.51
20,1.5437,45.09
21,1.4650,40.20
22,1.3922,44.82
23,1.3332,42.82
24,1.2767,43.93
25,1.2142,45.07
26,1.1665,46.53
27,1.1061,45.96
28,1.0606,44.31
29,1.0203,47.40
30,0.9793,47.29
