epoch,train_loss,val_acc
1,4.6621,5.49
2,4.2375,7.87
3,4.0611,10.38
4,3.9291,12.00
5,3.8128,13.58
6,3.6833,15.44
7,3.6140,16.22
8,3.5062,17.56
9,3.4282,18.33
10,3.3627,19.84
